Src IP,Dst IP,Total Flow Duration,Total Forward Packets,Avg Flow Duration,Avg Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
54.249.26.192,192.168.20.48,397620,3,397620.00,3.00,0.00,0.00
142.250.179.74,192.168.20.42,1126,3,1126.00,3.00,0.00,0.00
16.163.233.23,192.168.20.48,1057130,6,528565.00,3.00,195561.00,2.00
18.214.180.6,192.168.20.48,3167350,44,1583675.00,22.00,748404.00,20.00
18.203.57.224,192.168.20.43,14911,11,14911.00,11.00,0.00,0.00
18.203.57.224,192.168.20.48,2827651628,286,1413825814.00,143.00,1413802884.00,132.00
54.232.199.45,192.168.20.48,376380,2,376380.00,2.00,0.00,0.00
52.46.137.209,192.168.20.43,1178,3,1178.00,3.00,0.00,0.00
3.224.249.36,192.168.20.48,388027,2,388027.00,2.00,0.00,0.00
35.183.173.98,192.168.20.48,794082,12,794082.00,12.00,0.00,0.00
43.205.35.127,192.168.20.48,684977,6,684977.00,6.00,0.00,0.00
52.201.117.32,192.168.20.48,5167,4,5167.00,4.00,0.00,0.00
178.236.7.140,192.168.20.43,1113,1,1113.00,1.00,0.00,0.00
23.22.232.191,192.168.20.48,386610,5,193305.00,2.50,191953.00,1.50
52.46.133.103,192.168.20.48,184133,1,184133.00,1.00,0.00,0.00
142.250.74.238,192.168.20.42,5421,3,5421.00,3.00,0.00,0.00
54.164.163.115,192.168.20.48,2953477,56,2953477.00,56.00,0.00,0.00
52.84.177.20,192.168.20.43,18947,136,18947.00,136.00,0.00,0.00
52.84.177.20,192.168.20.48,854990,152,854990.00,152.00,0.00,0.00
54.221.200.137,192.168.20.48,2031718,38,2031718.00,38.00,0.00,0.00
35.178.33.97,192.168.20.48,394426,11,394426.00,11.00,0.00,0.00
52.210.32.69,192.168.20.19,108,2,108.00,2.00,0.00,0.00
54.242.128.35,192.168.20.48,552091,6,552091.00,6.00,0.00,0.00
52.222.149.107,192.168.20.43,9089,1,9089.00,1.00,0.00,0.00
18.164.55.101,192.168.20.43,4116,1,4116.00,1.00,0.00,0.00
54.239.33.155,192.168.20.43,8066,4,4033.00,2.00,518.00,0.00
