Src IP,Dst IP,Total Flow Duration,Total Forward Packets,Avg Flow Duration,Avg Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
192.168.20.43,52.94.233.61,496751,30,496751.00,30.00,0.00,0.00
192.168.20.43,3.223.79.67,388277628,188,388277628.00,188.00,0.00,0.00
192.168.20.43,52.222.149.51,196163,18,196163.00,18.00,0.00,0.00
192.168.20.43,8.8.8.8,11368125,1073,5684062.50,536.50,5158896.50,479.50
192.168.20.43,34.204.132.63,193546192,102,193546192.00,102.00,0.00,0.00
192.168.20.43,67.220.240.183,508798,23,508798.00,23.00,0.00,0.00
192.168.20.43,54.239.38.89,28483850,14,28483850.00,14.00,0.00,0.00
192.168.20.43,52.119.198.189,447460,11,447460.00,11.00,0.00,0.00
192.168.20.43,52.222.174.11,60116722,80,60116722.00,80.00,0.00,0.00
192.168.20.43,18.164.55.110,284010510,96,284010510.00,96.00,0.00,0.00
192.168.20.43,34.194.49.5,1008819075,126,1008819075.00,126.00,0.00,0.00
192.168.20.43,54.239.27.82,205707444,33,102853722.00,16.50,26089733.00,5.50
192.168.20.43,54.164.103.224,97269282,48,97269282.00,48.00,0.00,0.00
192.168.20.43,44.211.15.145,1426214964,182,1426214964.00,182.00,0.00,0.00
192.168.20.43,23.22.235.16,982282449,126,982282449.00,126.00,0.00,0.00
192.168.20.43,35.155.9.57,135820006,400,67910003.00,200.00,5712864.00,115.00
192.168.20.43,192.168.20.1,3509799,1420,1754899.50,710.00,1604200.50,650.00
192.168.20.43,209.54.180.27,226730688,30,226730688.00,30.00,0.00,0.00
192.168.20.43,239.255.255.250,102113403,1248,51056701.50,624.00,49806684.50,576.00
192.168.20.43,34.239.216.180,35966125,276,35966125.00,276.00,0.00,0.00
192.168.20.43,184.73.130.219,27844502,118,27844502.00,118.00,0.00,0.00
192.168.20.43,52.95.123.17,150865994,40,150865994.00,40.00,0.00,0.00
192.168.20.43,52.95.126.126,427283,13,427283.00,13.00,0.00,0.00
192.168.20.43,52.119.197.246,4802991,109,2401495.50,54.50,1667472.50,43.50
192.168.20.43,34.203.4.32,96811361,47,96811361.00,47.00,0.00,0.00
192.168.20.43,34.237.111.59,13233006,21,13233006.00,21.00,0.00,0.00
192.168.20.43,3.232.127.207,48874503,378,24437251.50,189.00,21018492.50,172.00
192.168.20.43,67.220.240.30,459754,12,459754.00,12.00,0.00,0.00
192.168.20.43,54.70.5.180,306832121,195,153416060.50,97.50,13750763.50,6.50
192.168.20.43,34.194.31.220,988216650,126,494108325.00,63.00,385081248.00,49.00
192.168.20.43,54.243.58.104,12705101,20,12705101.00,20.00,0.00,0.00
192.168.20.43,54.192.107.171,52999823,15,52999823.00,15.00,0.00,0.00
192.168.20.43,67.220.241.5,929049,41,929049.00,41.00,0.00,0.00
192.168.20.43,54.205.24.65,12947201,21,12947201.00,21.00,0.00,0.00
192.168.20.43,34.202.49.39,766855569,98,383427784.50,49.00,274050459.50,35.00
192.168.20.43,44.197.28.104,771425138,98,385712569.00,49.00,274663288.00,35.00
192.168.20.43,44.228.215.143,18990734,72,18990734.00,72.00,0.00,0.00
