Date,Src IP,Dst IP,Total Flow Duration,Total Forward Packets
06/11/2022,192.168.20.43,54.225.152.58,96586708,41
06/11/2022,54.239.19.122,192.168.20.48,1200,2
06/11/2022,54.207.10.176,192.168.20.48,779331,4
05/11/2022,192.168.20.19,54.217.52.155,466653059,143
06/11/2022,192.168.20.43,3.220.182.54,8331981,57
06/11/2022,192.168.20.43,44.234.113.198,35360070,85
05/11/2022,192.168.20.48,54.166.21.152,832251,19
06/11/2022,192.168.20.42,142.250.178.131,215455667,181
06/11/2022,192.168.20.43,18.233.46.225,35856166,270
06/11/2022,192.168.20.48,54.242.128.35,7020464,113
06/11/2022,192.168.20.1,224.0.0.251,11662419,23
06/11/2022,192.168.20.43,34.210.228.239,95374496,197
06/11/2022,192.168.20.43,18.164.55.110,284010510,96
06/11/2022,192.168.20.48,157.175.241.61,2123116,36
05/11/2022,192.168.20.43,3.212.27.131,218022699,28
06/11/2022,52.46.128.80,192.168.20.43,1523,2
06/11/2022,3.6.255.210,192.168.20.48,5068,3
06/11/2022,192.168.20.43,52.20.185.33,991179520,126
06/11/2022,157.175.241.61,192.168.20.48,500357,3
06/11/2022,142.250.179.99,192.168.20.42,2537,3
06/11/2022,52.222.174.52,192.168.20.48,163,2
06/11/2022,192.168.20.48,224.0.0.251,421164503,68
06/11/2022,192.168.20.43,52.217.233.217,8959046,304
06/11/2022,209.54.181.98,192.168.20.48,478274,2
05/11/2022,192.168.20.42,173.194.76.188,2660859514,116
06/11/2022,192.168.20.42,216.239.35.0,114442,20
06/11/2022,192.168.20.43,72.21.207.80,110723388,18
06/11/2022,192.168.20.42,216.239.35.4,132102,23
06/11/2022,192.168.20.43,54.88.98.123,231378679,28
06/11/2022,192.168.20.42,216.239.35.8,729216,23
05/11/2022,142.250.201.163,192.168.20.42,1183,1
06/11/2022,18.164.49.183,192.168.20.43,11906,10
06/11/2022,192.168.20.48,13.54.168.82,7044949,52
06/11/2022,192.168.20.48,75.2.104.77,1321603,14
06/11/2022,192.168.20.43,54.236.174.203,1161486030,150
06/11/2022,52.46.153.141,192.168.20.43,19530,3
06/11/2022,192.168.20.48,35.164.36.47,4215029,39
05/11/2022,52.84.174.45,192.168.20.43,8113,1
06/11/2022,192.168.20.48,15.236.150.135,1281952,143
05/11/2022,192.168.20.43,52.84.174.45,1462442,6
06/11/2022,192.168.20.43,52.70.101.206,31869782,185
05/11/2022,16.163.233.23,192.168.20.48,333004,1
06/11/2022,192.168.20.48,18.102.55.180,1367546,36
05/11/2022,192.168.20.43,52.46.128.39,1448735,20
05/11/2022,18.155.131.56,192.168.20.43,119955486,6
06/11/2022,192.168.20.43,54.239.38.89,28483850,14
06/11/2022,34.214.111.43,192.168.20.48,5533,2
06/11/2022,192.168.20.43,52.94.235.74,460765,14
06/11/2022,192.168.20.43,3.227.250.251,8463371,20
06/11/2022,192.168.20.43,209.54.183.188,417259,12
06/11/2022,192.168.20.48,3.234.38.31,77502,1
06/11/2022,192.168.20.43,44.226.67.213,96003296,216
05/11/2022,34.252.33.62,192.168.20.48,114193,1
06/11/2022,52.72.244.88,192.168.20.48,377786,5
06/11/2022,52.95.127.117,192.168.20.43,2633,1
06/11/2022,192.168.20.42,216.58.215.48,436528019,313
06/11/2022,54.243.58.104,192.168.20.48,2622454,31
06/11/2022,192.168.20.43,54.208.221.42,1643657426,210
06/11/2022,192.168.20.19,63.32.248.122,2782039,340
05/11/2022,192.168.20.19,203.107.6.88,208215,1
06/11/2022,192.168.20.43,52.46.158.193,576316,11
06/11/2022,192.168.20.48,34.236.6.206,76905,1
06/11/2022,209.54.183.244,192.168.20.43,9111,2
06/11/2022,192.168.20.48,52.79.118.208,8590383,91
06/11/2022,192.168.20.43,52.39.190.49,88209024,210
06/11/2022,192.168.20.43,52.214.227.89,19814947516,3059
06/11/2022,44.228.215.143,192.168.20.43,5082,1
06/11/2022,52.94.235.74,192.168.20.43,2859,1
06/11/2022,192.168.20.43,34.234.151.208,552685595,74
06/11/2022,192.168.20.42,74.125.140.188,6269369436,218
06/11/2022,192.168.20.43,3.222.37.116,96843273,42
06/11/2022,34.206.100.209,192.168.20.48,162370,7
06/11/2022,192.168.20.48,54.146.45.201,1134243,12
06/11/2022,192.168.20.48,192.168.20.1,7640389,1360
06/11/2022,216.58.214.170,192.168.20.42,2203,1
06/11/2022,15.197.228.53,192.168.20.48,27579,1
06/11/2022,192.168.20.43,52.94.224.4,453078,12
06/11/2022,54.206.221.238,192.168.20.48,949764,4
06/11/2022,192.168.20.43,18.164.55.96,394971,24
06/11/2022,192.168.20.48,44.199.138.71,25106307,707
06/11/2022,192.168.20.43,3.82.111.231,658147619,84
05/11/2022,34.214.111.43,192.168.20.48,494454,2
06/11/2022,35.155.9.57,192.168.20.43,1257,1
06/11/2022,54.239.38.89,192.168.20.43,20993,1
06/11/2022,192.168.20.48,13.249.33.203,778444,18
06/11/2022,192.168.20.40,192.168.20.42,3146,1
06/11/2022,192.168.20.48,3.6.255.210,2729497,40
06/11/2022,192.168.20.48,75.2.109.205,887533,17
06/11/2022,192.168.20.48,18.140.188.91,5371984,77
06/11/2022,192.168.20.48,104.199.65.124,69768216932,7143
06/11/2022,192.168.20.43,52.205.66.64,22441404,213
06/11/2022,192.168.20.43,52.46.149.60,356310,11
06/11/2022,192.168.20.48,18.134.222.161,2307048,115
05/11/2022,192.168.20.43,54.239.33.155,4077808,28
06/11/2022,192.168.20.43,52.46.149.63,508866,12
06/11/2022,192.168.20.43,52.95.127.117,82432978,51
06/11/2022,192.168.20.43,209.54.179.93,81568430,10
06/11/2022,192.168.20.48,54.238.156.226,18545633,190
06/11/2022,192.168.20.43,35.174.77.103,551128304,70
06/11/2022,192.168.20.43,52.84.177.20,13321872,970
06/11/2022,192.168.20.43,34.228.101.107,96716691,34
06/11/2022,192.168.20.48,34.226.24.249,153962,2
05/11/2022,192.168.20.15,255.255.255.255,3566987487,1219
05/11/2022,18.214.180.6,192.168.20.48,835271,2
06/11/2022,192.168.20.48,52.76.51.147,1549689,16
06/11/2022,192.168.20.48,72.21.207.82,896497,15
05/11/2022,192.168.20.48,18.155.131.56,249595,18
06/11/2022,209.54.183.240,192.168.20.43,1583,3
06/11/2022,192.168.20.42,142.250.179.106,445221,12
06/11/2022,209.54.183.188,192.168.20.43,1364,1
06/11/2022,192.168.20.48,54.85.159.116,513073,12
05/11/2022,192.168.20.18,51.195.117.133,3172472,3
06/11/2022,192.168.20.48,43.205.185.100,6699567,90
06/11/2022,192.168.20.48,209.54.178.166,1938838,33
06/11/2022,192.168.20.48,54.166.21.152,13672236,383
06/11/2022,192.168.20.43,54.157.203.98,258737817,46
06/11/2022,52.94.241.146,192.168.20.48,924513,2
06/11/2022,192.168.20.19,173.194.76.206,61592923535,2807
06/11/2022,192.168.20.43,52.46.129.152,552960,33
06/11/2022,192.168.20.48,108.136.92.85,3547839,38
06/11/2022,52.201.117.32,192.168.20.48,5167,4
06/11/2022,15.236.150.135,192.168.20.48,145058,8
06/11/2022,192.168.20.48,3.105.75.37,15345740,145
05/11/2022,192.168.20.42,216.58.213.67,2490638975,186
06/11/2022,192.168.20.19,239.255.255.250,54474829738,9672
05/11/2022,192.168.20.43,54.239.31.104,62833241,27
05/11/2022,192.168.20.43,52.45.237.36,77695,1
06/11/2022,192.168.20.43,54.192.107.171,52999823,15
06/11/2022,192.168.20.48,3.224.249.36,1820084,44
06/11/2022,13.125.158.78,192.168.20.48,891004,9
